competencia,unidade,total_leads,aulas_experimentais,professor_experimental,novas_matriculas,curso_matriculas,forma_contato_leads,caminho_experimentais,caminho_matriculas,ticket_medio_parcelas_matriculas,ticket_medio_passaporte,faturamento_passaporte
2025-01-01,Campo Grande,245,19,"6 Renan, 6 Caio Araújo, 5 Não teve, 4 Lucas Lisboa, 3 Peterson, 2 Joel, 2 Gabriel Silva, 2 Letícia Palmeira, 1 Vicente, 1 Juliana, 1 Marcos Angelo, 1 Kinho, 1 Kaio Cabral, 1 Xande, 1 Pedro Sérgio, 1 Daiana, 1 Rodrigo, 1 Renan e Israel, 1 Jeyson, 1 Pedro","42 (17 LAMK, 25EMLA","9 Musicalização, 8 Teclado, 6 Bateria, 6 Canto, 4 Guitarra, 2 Violino, 2 Contrabaixo, 1 Cavaquinho, 1 Violão/Canto, 1 Baixo, 1 Piano, 1 Produção Musical e Piano","219 instagram, ligação 2, placa faixada 5, site 3, indicação 3, outros 13","11 instagram, 2 indicação, 3 placa faixada, 1 ex aluno, 2 google","19 indicação, 5 placa faixada, google 2, ex-aluno 1, instagram 15","R$ 373,79","R$ 386,21","R$ 15.586,00"
2025-02-01,Campo Grande,436,33,"5 Não teve, 3 Caio Araújo, 3 Daiane, 3 Israel, 2 Joel, 2 Xande, 2 Peterson, 2 Kaio Cabral, 1 Gabriel Silva, 1 Vicente, 1 Renan, 1 Matheus Lourenço, 1 Gabriel Otávio, 1 Matheus Sterque, 1 Pedro","29 (7 LAMK, 22 EMLA)","7 Canto, 6 Teclado, 5 Bateria, 3 Musicalização, 2 Violino, 2 Violão, 2 Guitarra, 1 Contrabaixo, 1 Piano","392 Instagram, 19 Indicação, 8 Visita/Placa, 6 Google, 5 Site, 3 Ligação, 1 Facebook, 1 Ex alunos, 1 Convênios","16 Indicação, 8 Visita/Placa, 6 Instagram, 1 Facebook, 1 Google, 1 Convênios","18 Indicação, 4 Instagram, 3 Ex alunos, 2 Visita/Placa, 1 Google, 1 Convênios","R$ 368,10","R$ 405,74","R$ 11.404,00"
2025-03-01,Campo Grande,374,25,"3 Peterson, 2 Caio Araújo, 2 Kaio Cabral, 2 Valdo, 2 Joel, 1 Jeyson, 1 Ramon, 1 Israel, 1 Não teve, 1 Lucas Lisboa, 1 Vicente, 1 Daiane, 1 Renan, 1 Gabriel Silva","20 (6 LAMK, 14 EMLA)","4 Bateria, 3 Violão, 3 Teclado, 2 Piano, 2 Canto, 2 Violino, 2 Musicalização p/ bebês, 1 Musicalização infantil, 1 Guitarra","340 Instagram, 12 Convênios, 10 Visita/Placa, 4 Indicação, 4 Google, 2 Site, 1 Ligação, 1 Ex alunos","12 Instagram, 7 Indicação, 4 Visita/Placa, 1 Google, 1 Convênios","7 Indicação, 5 Instagram, 3 Visita/Placa, 2 Google, 2 Ex alunos, 1 Convênios","R$ 363,75","R$ 398,40","R$ 7.968,00"
2025-04-01,Campo Grande,396,22,"8 Gabriel Leão, 2 Peterson, 2 Não teve, 1 Daiane, 1 Gabriel Otávio, 1 William, 1 Will, 1 Valdo, 1 Lohanna, 1 Caio Araújo, 1 Kaio Cabral, 1 Joel, 1 Israel","21 (9 LAMK, 12 EMLA)","8 Canto, 5 Bateria, 3 Teclado, 2 Violão, 2 Guitarra, 1 Piano, 1 Violino","360 Instagram, 10 Convênios, 9 Ligação, 7 Visita/Placa, 4 Indicação, 2 Site, 2 Google, 1 Facebook, 1 Ex alunos","9 Indicação, 5 Google, 4 Instagram, 4 Visita/Placa","9 Indicação, 4 Visita/Placa, 4 Instagram, 2 Ex alunos, 1 Google, 1 Convênios","R$ 361,27","R$ 396,31","R$ 8.328,00"
2025-05-01,Campo Grande,286,41,"5 Gabriel Leão, 4 Pedro, 4 Lucas Lisboa, 4 Will, 4 Caio Araújo, 3 Letícia Turques, 3 Rodrigo, 2 Não teve, 2 Daiane, 1 Letícia Palmeira, 1 Pedro Glória, 1 Kaio Cabral, 1 Valdo, 1 Matheus Santos, 1 Miqueias, 1 Gabriel Otávio","37 (21 LAMK, 16 EMLA)","8 Canto, 5 Musicalização infantil, 5 Bateria, 5 Musicalização, 4 Guitarra, 4 Violão, 4 Piano, 2 Musicalização preparatória, 1 Teclado","238 Instagram, 15 Indicação, 12 Google, 8 Visita/Placa, 8 Site/Landing Page, 4 Ligação, 1 Ex alunos","15 Indicação, 14 Instagram, 6 Google, 4 Visita/Placa, 2 Ex alunos","13 Indicação, 12 Instagram, 6 Google, 3 Visita/Placa, 3 Ex alunos","R$ 356,81","R$ 422,11","R$ 15.618,00"
2025-06-01,Campo Grande,256,36,"3 Renan, 2 Gabriel Silva, 2 Peterson, 1 Valdo, 1 Ramon, 1 Pedro, 1 Israel, 1 Lucas Lisboa, 1 Não teve","12 (3 LAMK, 9 EMLA)","3 Bateria, 2 Teclado, 2 Guitarra, 2 Musicalização, 1 Canto, 1 Contrabaixo, 1 Produção Musical, 1 Violão","224 Instagram, 10 Google, 7 Visita/Placa, 7 Indicação, 6 Site/Landing Page, 1 Ex alunos, 1 Convênios/Evento","12 Indicação, 8 Instagram, 5 Visita/Placa, 5 Google, 4 Ex alunos, 2 Convênios/Evento","5 Instagram, 3 Indicação, 2 Ex alunos, 1 Visita/Placa, 1 Evento","R$ 391,08","R$ 433,00","R$ 5.196,00"
2025-07-01,Campo Grande,248,15,"4 Gabriel Leão, 4 Caio Araújo, 2 Letícia Palmeira, 2 Não teve, 1 Xande, 1 Jeyson, 1 Letícia Turques, 1 Joel, 1 Pedro","17 (7 LAMK, 10 EMLA)","5 Canto, 3 Musicalização, 2 Bateria, 2 Teclado, 1 Contrabaixo, 1 Musicalização preparatória, 1 Piano, 1 Cavaquinho, 1 Violino","183 Instagram, 38 Lead, 8 Visita/Placa, 6 Ligação, 4 Site/Landing Page, 4 Google, 3 Indicação, 2 Eventos","6 Instagram, 4 Visita/Placa, 3 Indicação, 2 Google","5 Instagram, 5 Indicação, 4 Visita/Placa, 1 Google, 1 Ex alunos, 1 Eventos","R$ 370,92","R$ 431,95","R$ 7.300,00"
2025-08-01,Campo Grande,346,44,"10 Matheus Santos, 8 Pedro, 4 Valdo, 4 Caio Araújo, 3 Gabriel Leão, 2 Joel, 2 Israel, 2 Rodrigo, 2 Letícia Turques, 1 Daiane, 1 Renan, 1 Matheus Felipe, 1 Elliabh, 1 Não teve","29 (11 LAMK, 18 EMLA)","9 Canto, 6 Guitarra, 6 Musicalização, 5 Bateria, 3 Teclado, 3 Violino, 1 Violão","273 Instagram, 35 Google, 11 Indicação, 10 Site/Landing Page, 7 Visita/Placa, 6 Ligação, 2 Eventos, 2 Ex aluno","18 Indicação, 10 Instagram, 6 Google, 4 Visita/Placa, 3 Convênios, 3 Ex alunos","12 Indicação, 7 Ex alunos, 3 Google, 3 Instagram, 2 Visita/Placa, 2 Convênios","R$ 372,17","R$ 384,83","R$ 11.160,00"
2025-09-01,Campo Grande,367,40,"3 Caio Araújo, 3 Xande, 2 Renan, 2 Willer, 2 Joel, 2 Pedro, 2 Lohanna, 1 Daiane, 1 Israel, 1 Gabriel Otávio, 1 Miquéias, 1 Peterson, 1 Gabriel Leão, 1 Elliabh","23 (8 LAMK, 15 EMLA)","6 Canto, 4 Bateria, 3 Guitarra, 2 Teclado, 2 Violino, 2 Violão, 2 Musicalização, 1 Flauta Transversal, 1 Produção Musical","311 Instagram, 17 Site, 12 Visita/Placa, 11 Indicação, 8 Google, 5 Ligação, 3 Ex aluno","15 Indicação, 10 Instagram, 9 Google, 6 Visita/Placa","10 Instagram, 6 Indicação, 4 Google, 3 Visita/Placa","R$ 397,83","R$ 437,26","R$ 10.057,00"
2025-10-01,Campo Grande,434,30,"5 Caio Araújo, 1 Xande, 1 Will, 1 Joel, 1 Willer, 1 Gabriel Leão, 1 Letícia Palmeira","11 (8 LAMK, 3 EMLA)","3 Musicalização, 2 Teclado, 2 Bateria, 2 Canto, 1 Guitarra, 1 Violino","195 Instagram, 88 Leads/Convênios, 83 Site, 28 Facebook, 15 Google, 12 Visita/Placa, 10 Ligação, 2 Indicação, 1 Ex aluno","12 Indicação, 7 Instagram, 7 Google, 2 Visita/Placa, 2 Convênios","5 Instagram, 2 Indicação, 1 Visita/Placa, 1 Google, 1 Convênio, 1 Ex aluna","R$ 362,64","R$ 330,00","R$ 3.630,00"
