competencia,unidade,total_alunos_pagantes,novas_matriculas,evasoes_alunos,churn_pct,renovacoes_alunos,renovacoes_pct,reajustes_parcelas_pct,tempo_permanencia_meses,ticket_medio_parcelas,ticket_medio_passaporte,faturamento_parcelas_previsto,inadimplencia,inadimplencia_pct
2025-01-01,Campo Grande,498,42,12,2.4,1,100.00,-,18,351.38,386.21,115079.00,288.00,0.25
2025-02-01,Campo Grande,464,29,49,10.27,36,72.00,14.00,18,352.31,406.40,158380.00,283.00,0.17
2025-03-01,Campo Grande,473,20,9,1.89,36,100.00,11.00,18,353.60,408.37,136787.51,283.00,0.20
2025-04-01,Campo Grande,468,21,26,5.55,18,52.94,11.31,18,357.64,374.25,150882.60,0.00,0.00
2025-05-01,Campo Grande,458,37,47,10.26,38,69.09,12.65,19,365.08,422.11,149691.00,1103.44,0.73
2025-06-01,Campo Grande,458,12,5,1.09,25,100.00,18.00,19,363.23,433.00,162758.40,2210.74,1.35
2025-07-01,Campo Grande,441,17,37,8.61,20,50.00,17.40,19,363.45,431.95,160281.50,4237.00,2.64
2025-08-01,Campo Grande,454,29,11,2.42,31,100.00,13.00,19,367.55,384.33,159804.70,288.00,0.18
2025-09-01,Campo Grande,448,23,29,6.47,31,73.80,"12,35",19,375.87,437.26,162000.50,2540.50,1.57
2025-10-01,Campo Grande,415,11,40,9.36,16,53.34,12.58,19,"372,09",330.00,154417.35,2363.42,1.53
2025-11-01,Campo Grande,419,24,14,2.51,11,47.82,9.90,19,371.52,286.46,155666.88,2608.88,1.67
2025-12-01,Campo Grande,417,6,9,1.66,-,-,-,19,,,,6057.00,
2025-01-01,Recreio,311,30,13,4.18,1,100.00,-,13,383.13,407.66,107661.01,3621.00,3.36
2025-02-01,Recreio,305,17,23,7.54,28,68.29,9.58,14,418.15,432.94,116664.57,930.00,0.80
2025-03-01,Recreio,315,18,8,2.53,16,100.00,9.15,14,410.52,433.33,113305.53,930.00,0.82
2025-04-01,Recreio,308,17,24,7.79,16,80.00,8.67,14,428.66,424.37,120884.38,930.00,0.76
2025-05-01,Recreio,311,10,7,2.25,14,100.00,8.75,14,414.49,421.00,121033.91,930.00,0.76
2025-06-01,Recreio,310,10,11,3.54,13,76.47,12.15,14,416.98,420.00,123373.17,1860.00,1.50
2025-07-01,Recreio,300,9,21,7.00,14,100.00,9.75,14,425.29,444.44,119447.54,1395.00,1.16
2025-08-01,Recreio,329,40,9,2.73,25,100.00,9.83,14,420.22,260.00,124825.25,930.00,0.74
2025-09-01,Recreio,321,15,24,7.5,19,76.00,10.05,15,432.04,304.67,128318.48,1395.00,1.08
2025-10-01,Recreio,315,6,14,3.49,9,56.25,10.88,15,427.91,305.26,130514.04,1860.00,1.42
2025-11-01,Recreio,317,13,11,3.47,17,100.00,11.68,15,428.50,306.00,128121.83,2325.00,1.81
2025-12-01,Recreio,297,4,24,8.1,21,87.50,10.85,15,429.57,337.50,123718.41,1395.00,1.12
2025-01-01,Barra,217,16,11,5.00,1,50.00,-,12,404.55,446.31,69141.93,0.00,0.00
2025-02-01,Barra,225,18,9,4.00,17,100.00,8.5,12,411.38,469.05,86182.79,437.00,0.50
2025-03-01,Barra,228,13,10,4.38,6,75.00,10.3,12,411.87,480.00,84624.22,1507.00,1.78
2025-04-01,Barra,224,6,13,4.91,9,90.00,9.6,12,419.29,440.66,86059.17,934.00,1.08
2025-05-01,Barra,218,12,19,8.71,14,77.77,10.9,12,426.92,503.16,86679.00,814.00,0.93
2025-06-01,Barra,213,12,17,7.00,6,75.00,21.00,13,430.17,465.33,87319.71,437.00,0.50
2025-07-01,Barra,216,13,10,4.62,9,90.00,11.00,13,436.79,474.75,87358.30,0.00,0.00
2025-08-01,Barra,227,17,6,2.64,5,100.00,9.5,13,430.39,459.33,89775.53,0.00,0.00
2025-09-01,Barra,231,13,10,4.32,10,83.33,9.5,13,435.85,477.69,93447.95,430.00,0.46
2025-10-01,Barra,232,10,9,3.86,7,87.50,7.8,14,435.17,486.63,94433.72,0.00,0.00
2025-11-01,Barra,236,9,5,2.11,12,87.5,8.9,14,431.16,238.51,98907.12,0.00,0.00
2025-12-01,Barra,221,3,16,7.23,12,80.00,10.9,14,440.24,456.33,95085.80,447.00,0.47
